school_name,school_level,class_code,campus_id,address,city,state,zip,Basement,Floor 1,Floor 2,Floor 3,Floor 4,Floor 5,uploaded,source_file,notes,longitude,latitude,in_survey_dropdown
GUERRERO THOMPSON,Elementary School,ELEM,186,102 E. RUNDBERG LANE,AUSTIN,TX,78753,,GUERRERO THOMPSON ES.svg,,,,,,,,-97.69321632299994,30.36092783400005,yes
GULLETT,Elementary School,ELEM,117,6310 TREADWELL BLVD.,AUSTIN,TX,78757,,GULLETT ES.svg,,,,,,,,-97.74864598599999,30.343708587000037,yes
HARRIS,Elementary School,ELEM,118,1711 WHELESS LANE,AUSTIN,TX,78723,,HARRIS ES.svg,,,,,,,,-97.69104758099996,30.31489481800003,yes
HART,Elementary School,ELEM,163,8301 FURNESS STREET,AUSTIN,TX,78753,,HART ES.svg,,,,,,,,-97.68863561099994,30.342462309000037,yes
HIGHLAND PARK,Elementary School,ELEM,119,4900 FAIRVIEW DRIVE,AUSTIN,TX,78731,,HIGHLAND PARK ES.svg,,,,,,,,-97.75983508699994,30.330352326000025,yes
HILL,Elementary School,ELEM,155,8601 TALLWOOD DRIVE,AUSTIN,TX,78759,,HILL ES.svg,,,,,,,,-97.74860347399999,30.376591160000036,yes
HOUSE PARK,Athletic Facility,ATHLETIC,280,1301 SHOAL CREEK BLVD,AUSTIN,TX,78701,,HOUSE PARK ATH.svg,,,,,,,,-97.74894580952227,30.278223319396258,yes
HOUSTON,Elementary School,ELEM,162,5409 PONCIANA DRIVE,AUSTIN,TX,78744,,HOUSTON ES.svg,,,,,,,,-97.75507080699998,30.19775328400004,yes
JORDAN,Elementary School,ELEM,178,6711 JOHNNY MORRIS ROAD,AUSTIN,TX,78724,,JORDAN ES.svg,,,,,,,,-97.64691992499996,30.300849958000068,yes
JOSLIN,Elementary School,ELEM,198,4500 MENCHACA ROAD,AUSTIN,TX,78745,,JOSLIN ES.svg,,,,,,,,-97.79021037099994,30.227983047000066,yes
