school_name,school_level,class_code,campus_id,address,city,state,zip,Basement,Floor 1,Floor 2,Floor 3,Floor 4,Floor 5,uploaded,source_file,notes
PICKLE,Elementary School,ELEM,164,1101 WHEATLEY AVE.,AUSTIN,TX,78752,,PICKLE ES.svg,,,,,,,
PILLOW,Elementary School,ELEM,151,3025 CROSSCREEK DRIVE,AUSTIN,TX,78757,,PILLOW ES.svg,,,,,,,
PLEASANT HILL,Elementary School,ELEM,130,6405 CIRCLE S ROAD,AUSTIN,TX,78745,,PLEASANT HILL ES.svg,,,,,,,
REILLY,Elementary School,ELEM,132,405 DENSON DRIVE,AUSTIN,TX,78752,,REILLY ES.svg,,,,,,,
RICHARDS SYWL,High School,HIGH,028,2206 PRATHER LANE,AUSTIN,TX,78704,,RICHARDS SYWL HS.svg,,,,,,,
RIDGETOP,Elementary School,ELEM,133,5005 CASWELL AVE.,AUSTIN,TX,78751,,RIDGETOP ES.svg,,,,,,,
RODRIGUEZ,Elementary School,ELEM,174,4400 FRANKLIN PARK DRIVE,AUSTIN,TX,78744,,RODRIGUEZ ES.svg,,,,,,,
ROSEDALE,Alternative Education,ALT ED 1,251,2608 RICH CREEK,AUSTIN,TX,78757,,ROSEDALE ALT.svg,,,,,,,
SADLER MEANS,Middle School,MID,065,6401 N. HAMPTON DRIVE,AUSTIN,TX,78723,,SADLER MEANS MS.svg,,,,,,,
SAEGERT BUS,District Facility,DISTRICT,960,3300 JONES ROAD,AUSTIN,TX,78745,,SAEGERT BUS DIST.svg,,,,,,,
SANCHEZ,Elementary School,ELEM,127,73 SAN MARCOS STREET,AUSTIN,TX,78702,,SANCHEZ ES.svg,,,,,,,
SERVICE CENTER,District Facility,DISTRICT,962,5101 E 51ST STREET,AUSTIN,TX,78723,,SERVICE CENTER DIST.svg,,,,,,,
SITE 903,District Facility,DISTRICT,903,3100 4TH STREET,AUSTIN,TX,78702,,SITE 903 DIST.svg,,,,,,,
SITE 905,District Facility,DISTRICT,905,84 ROBERT T. MARTINEZ JR. STREET,AUSTIN,TX,78702,,SITE 905 DIST.svg,,,,,,,
SITE 906,District Facility,DISTRICT,906,1106 RIO GRANDE,AUSTIN,TX,78701,,SITE 906 DIST.svg,,,,,,,
SITE 907,District Facility,DISTRICT,907,1203 SPRINGDALE ROAD,AUSTIN,TX,78721,,SITE 907 DIST.svg,,,,,,,
SITE 908,District Facility,DISTRICT,908,2117 W 49TH STREET,AUSTIN,TX,78756,,SITE 908 DIST.svg,,,,,,,
SMALL,Middle School,MID,060,4801 MONTEREY OAKS BLVD.,AUSTIN,TX,78749,,SMALL MS.svg,,,,,,,
SOUTHEAST BUS,District Facility,DISTRICT,955,7200 BLUFF SPRINGS ROAD,AUSTIN,TX,78744,,SOUTHEAST BUS DIST.svg,,,,,,,
ST ELMO,Elementary School,ELEM,136,600 W. ST. ELMO ROAD,AUSTIN,TX,78745,,ST ELMO ES.svg,,,,,,,
SUMMITT,Elementary School,ELEM,138,12207 BRIGADOON LANE,AUSTIN,TX,78727,,SUMMITT ES.svg,,,,,,,
SUNSET VALLEY,Elementary School,ELEM,158,3000 JONES ROAD,SUNSET VALLEY,TX,78745,,SUNSET VALLEY ES.svg,,,,,,,
TRAVIS,High School,HIGH,007,1211 E. OLTORF STREET,AUSTIN,TX,78704,,TRAVIS HS.svg,,,,,,,
TRAVIS GPA,Alternative Education,ALT ED 1,023,1211 E. OLTORF STREET,AUSTIN,TX,78704,,TRAVIS GPA ALT.svg,,,,,,,
TRAVIS HEIGHTS,Elementary School,ELEM,140,2010 ALAMEDA DRIVE,AUSTIN,TX,78704,,TRAVIS HEIGHTS ES.svg,,,,,,,
UPHAUS,Elementary School,ELEM,177,5200 FREIDRICH LANE,AUSTIN,TX,78744,,UPHAUS ES.svg,,,,,,,
WALNUT CREEK,Elementary School,ELEM,141,401 W. BRAKER LANE,AUSTIN,TX,78753,,WALNUT CREEK ES.svg,,,,,,,
WEBB,Middle School,MID,053,601 E. ST. JOHNS AVE.,AUSTIN,TX,78752,,WEBB MS.svg,,,,,,,
WIDEN,Elementary School,ELEM,175,5605 NUCKOLS CROSSING,AUSTIN,TX,78744,,WIDEN ES.svg,,,,,,,
WILLIAMS,Elementary School,ELEM,166,500 MAIRO STREET,AUSTIN,TX,78748,,WILLIAMS ES.svg,,,,,,,
WINN,Elementary School,ELEM,157,3500 SUSQUEHANNA LANE,AUSTIN,TX,78723,,WINN ES.svg,,,,,,,
WOOLDRIDGE,Elementary School,ELEM,152,1412 NORSEMAN TERRACE,AUSTIN,TX,78758,,WOOLDRIDGE ES.svg,,,,,,,
WOOTEN,Elementary School,ELEM,144,1406 DALE DRIVE,AUSTIN,TX,78757,,WOOTEN ES.svg,,,,,,,
ZAVALA,Elementary School,ELEM,145,310 ROBERT MARTINEZ JR. STREET,AUSTIN,TX,78702,,ZAVALA ES.svg,,,,,,,
ZILKER,Elementary School,ELEM,146,1900 BLUEBONNET LANE,AUSTIN,TX,78704,,ZILKER ES.svg,,,,,,,
